year,tuition
2000,6560.0
2001,6850.0
2002,7340.0
2003,8140.0
2004,8740.0
2005,9050.0
2006,9260.0
2007,9610.0
2008,9870.0
2009,10610.0
2010,11270.0
2011,11850.0
2012,12130.0
2013,12290.0
2014,12450.0
2015,12810.0
2016,12970.0
2017,13110.0
2018,13090.0
2019,13150.0
2020,13150.0
2021,12770.0
2022,12090.0
2023,11950.0
2024,11920.0
